epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,160142,1.63355,1.38656,2.10428,0.90458,0.81081,0.8039,0.44933,1.76547,1.22252,2.47178,0.0006041,0.0006041,0.0006041
143,160388,1.74027,1.87151,2.13863,0.87168,0.81081,0.80014,0.46449,1.72769,1.19607,2.43997,0.0005942,0.0005942,0.0005942
144,160632,1.69413,1.57255,2.11948,0.88048,0.79659,0.78776,0.47958,1.69035,1.25573,2.38938,0.0005843,0.0005843,0.0005843
145,160875,1.76745,1.46924,2.19956,0.88048,0.79659,0.78776,0.47958,1.69035,1.25573,2.38938,0.0005744,0.0005744,0.0005744
146,161121,1.74836,1.58973,2.19277,0.84979,0.76467,0.79009,0.47694,1.63298,1.2818,2.31406,0.0005645,0.0005645,0.0005645
147,161365,1.60462,1.52409,2.08846,0.83828,0.84063,0.83399,0.47876,1.64972,1.30281,2.30021,0.0005546,0.0005546,0.0005546
148,161613,1.72494,1.56151,2.00743,0.83828,0.84063,0.83399,0.47876,1.64972,1.30281,2.30021,0.0005447,0.0005447,0.0005447
149,161859,1.5396,1.43139,2.03771,0.85779,0.81525,0.82793,0.47746,1.66565,1.27797,2.29899,0.0005348,0.0005348,0.0005348
150,162109,1.56751,1.66353,2.0334,0.85779,0.81525,0.82793,0.47746,1.66565,1.27797,2.29899,0.0005249,0.0005249,0.0005249
151,162364,1.51514,1.54297,1.95405,0.85978,0.82876,0.8264,0.47658,1.66651,1.22034,2.29224,0.000515,0.000515,0.000515
152,162615,1.58373,1.66133,1.9593,0.88829,0.86486,0.85884,0.47623,1.66554,1.20155,2.2772,0.0005051,0.0005051,0.0005051
153,162866,1.46459,1.40124,1.95213,0.88829,0.86486,0.85884,0.47623,1.66554,1.20155,2.2772,0.0004952,0.0004952,0.0004952
154,163124,1.54604,1.39579,1.98097,0.8136,0.82595,0.82999,0.48341,1.66658,1.23168,2.2902,0.0004853,0.0004853,0.0004853
155,163380,1.67213,1.51034,2.12148,0.82874,0.81081,0.83063,0.4959,1.62419,1.22255,2.26909,0.0004754,0.0004754,0.0004754
156,163629,1.52332,1.42114,1.93617,0.82874,0.81081,0.83063,0.4959,1.62419,1.22255,2.26909,0.0004655,0.0004655,0.0004655
157,163881,1.46012,1.47192,1.98867,0.87703,0.77121,0.8365,0.50894,1.5715,1.21009,2.2325,0.0004556,0.0004556,0.0004556
158,164122,1.36501,1.21105,1.88801,0.82086,0.83784,0.84977,0.51041,1.56021,1.18899,2.2335,0.0004457,0.0004457,0.0004457
